Policy,Year
35658645,2563
20879197,2563
32297322,2563
32162231,2563
37064340,2563
21330555,2563
21773382,2563
22995787,2563
35912475,2563
82246761,2563
82059125,2563
23095375,2563
39981078,2563
36760543,2563
82396235,2563
37855905,2563
37445280,2563
37919257,2563
22127809,2563
23078460,2563
23197623,2563
36288208,2563
36819240,2563
21729415,2563
22683657,2563
80207527,2563
23220251,2563
37334698,2563
37095274,2563
33120903,2563
35543600,2563
82191441,2563
70162001,2563
36673413,2563
37102257,2563
34980735,2563
23123891,2563
31270378,2563
36772428,2563
22600877,2563
22567677,2563
37086639,2563
36735108,2563
21142719,2563
22700952,2563
82351438,2563
22697489,2563
22980700,2563
22981244,2563
23239935,2563
34913910,2563
82410565,2563
37304377,2563
82246896,2563
22832544,2563
21338216,2563
22970317,2563
34979932,2563
22269608,2563
23194509,2563
20801966,2563
20879978,2563
37599693,2563
37685864,2563
70187550,2563
36166794,2563
21234768,2563
35715552,2563
21231196,2563
21581008,2563
23179308,2563
37591620,2563
35635657,2563
80117149,2563
90196458,2563
33246228,2563
33174219,2563
37592404,2563
34771538,2563
82159928,2563
33243017,2563
36009207,2563
36968789,2563
25172481,2563
21263953,2563
25212635,2563
22741952,2563
22741953,2563
34962197,2563
32557215,2563
21027955,2563
32233932,2563
37118314,2563
70203781,2563
33043480,2563
70194078,2563
25233165,2563
21230543,2563
21322660,2563
34989648,2563
37732488,2563
70112450,2563
37089365,2563
20974030,2563
70165459,2563
21042179,2563
22861613,2563
36638597,2563
32632775,2563
21881819,2563
70168329,2563
23226153,2563
37386055,2563
37320182,2563
32462116,2563
39997314,2563
35560953,2563
23101638,2563
34972163,2563
37244392,2563
32238154,2563
70184322,2563
82336309,2563
35199596,2563
70184713,2563
37848983,2563
82329726,2563
37951874,2563
34979608,2563
80093943,2563
35424302,2563
23203776,2563
25216050,2563
70199932,2563
37425448,2563
23201393,2563
37039827,2563
23067619,2563
37607615,2563
37879726,2563
21499445,2563
23088932,2563
21619253,2563
32940368,2563
34980821,2563
39964011,2563
23098993,2563
34922558,2563
37668030,2563
32681057,2563
80234181,2563
82338588,2563
37634267,2563
21639220,2563
32897520,2563
37633783,2563
22132792,2563
32981795,2563
36814070,2563
36090422,2563
32739441,2563
23235207,2563
82278113,2563
23223241,2563
34484551,2563
21667825,2563
23043763,2563
37595176,2563
34974292,2563
39998469,2563
23182372,2563
80258883,2563
22684486,2563
36755435,2563
70182383,2563
21757472,2563
20970988,2563
37056242,2563
22806622,2563
80155303,2563
70119062,2563
22973279,2563
34953236,2563
82177914,2563
39978635,2563
39978634,2563
39955409,2563
36743437,2563
37025375,2563
82064742,2563
23238968,2563
32647530,2563
22605178,2563
22957336,2563
22946164,2563
33143451,2563
21747600,2563
70164887,2563
22459873,2563
37715706,2563
