Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
gettoken,1,188,188,188,0.00,0.000%,5.31915,3.02,3.31,582.0
2) ค้นหารายชื่อ ใบคำขอ,59682,2219,108,24750,1854.16,0.288%,16.56973,137.06,13.12,8470.4
https://pre-tlproplus-api.thailife.com/token,40,2686,1183,21062,4230.66,5.000%,1.81004,1.22,0.95,688.6
6.1) SE,9855,1015,96,22613,1401.40,0.142%,2.73715,2.56,2.25,958.4
6.2) PJ,9853,550,60,8554,828.49,0.000%,2.73781,2.31,2.28,864.0
5) ค้นหา รพ เครือข่าย (Search all),33374,3280,650,27580,1461.10,0.129%,9.26453,1122.51,6.45,124069.7
6.3) NF,9852,529,61,8547,812.86,0.000%,2.73788,2.31,2.28,864.9
6.4) LT01,9848,544,58,8538,845.30,0.000%,2.73710,2.31,2.28,865.9
1) ค้นหาใบเสนอขาย,52321,3297,197,24773,2489.72,0.942%,14.52494,48.42,9.98,3413.3
6.5) SF,9846,520,59,6962,795.72,0.000%,2.73695,2.31,2.28,864.9
1_2) Login with Agent users 850 requests ,10,2608,1530,8469,1977.35,90.000%,1.05263,6.46,0.69,6285.0
7) ค้นหาโดย ID,67194,1269,119,23526,1382.29,0.054%,18.68888,14.86,13.43,814.4
TOTAL,261876,2027,58,27580,2003.45,0.294%,72.57753,1332.45,54.21,18799.6
